"","Site","Date","Why","Sex","Age","Education","Relationship","Think_about","Trying","Tried_before","Time_since_tried","How_long","GMS_now1","GMS_now2","GMS_now3","GMS_now4","GMS_now5","GMS_now6","GMS_now7","GMS_now8","GMS_now9","GMS_now10","GMS_now11","GMS_now12","GMS_now13","GMS_week1","GMS_week2","GMS_week3","GMS_week4","GMS_week5","GMS_week6","GMS_week7","GMS_week8","GMS_week9","GMS_week10","GMS_week11","GMS_week12","GMS_week13","SIMS1","SIMS2","SIMS3","SIMS4","SIMS5","SIMS6","SIMS7","SIMS8","SIMS9","SIMS10","SIMS11","SIMS12","SIMS13","SIMS14","SIMS15","SIMS16","SIMS_Intrinsic","SIMS_IdenReg","SIMS_ExtReg","SIMS_Amotivation","Times_walk","Mins_walk","Times_vigorous","Mins_vigorous","Times_moderate","Mins_moderate","GMSnStr","GMSfStr","GMSnIM","GMSfIM","GMSnAV","GMSfAV"
"38",1,2013-08-04,"I have to run a half marathon in 3 weeks... Eep!",2,22,4,2,2,4,2,NA,NA,9,7,7,8,8,10,10,5,7,7,7,8,8,5,5,5,9,9,10,10,7,8,8,8,8,8,6,6,2,1,4,7,1,3,5,7,1,2,5,7,4,2,20,27,8,8,0,0,4,3,0,3,7.66666666666667,5,8,9,7.5,8
"39",1,2013-08-04,"Improve fitness and health",1,23,4,2,4,0,1,52,4,8,7,6,6,6,8,8,6,6,6,10,10,8,10,8,6,7,7,7,7,7,7,7,8,8,8,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,15,16,14,16,1,60,0,0,0,0,7,8,6.4,7,10,8
"40",1,2013-08-04,"Maintenance of optimal health",1,24,4,2,10,0,1,24,12,7,9,7,8,8,8,10,6,8,5,2,2,2,7,5,7,2,2,2,2,2,2,2,2,6,2,7,7,1,1,4,7,2,1,7,6,1,NaN,7,7,2,1,25,27,6,NA,5,90,4,240,2,100,7.66666666666667,6.33333333333333,7.4,2,2,3.33333333333333
"41",1,2013-08-04,"Getting married",2,26,4,2,12,0,1,52,12,5,8,1,5,5,3,5,7,1,4,5,6,6,7,7,4,5,5,5,4,4,3,5,5,5,5,4,4,4,1,1,4,4,1,1,4,1,1,2,3,3,1,8,15,12,4,6,60,0,0,0,0,4.66666666666667,6,3.6,5,5.5,5
"42",1,2013-08-04,"For a job.",1,21,2,2,9,5,1,70,12,10,10,10,8,8,9,9,9,9,6,8,6,7,10,10,10,8,8,9,9,4,8,4,0,0,0,5,7,7,1,2,7,7,1,4,7,7,2,6,7,7,6,17,28,28,10,4,90,1,20,0,0,10,10,8,7.25,7,0
"43",1,2013-08-04,"To feel better, to enjoy fitness, to look better and to help depression",2,20,3,1,54,52,1,104,26,9,6,9,8,10,7,10,6,8,7,9,7,8,9,6,8,9,10,7,10,5,7,4,9,8,7,4,6,3,1,6,6,3,2,5,7,1,1,6,6,3,1,21,25,10,5,5,60,1,20,0,0,8,7.66666666666667,8,7.5,8,8
"44",1,2013-08-04,"Being overseas and not being able to access a gym",2,23,4,2,6,0,1,24,20,10,10,10,10,10,10,10,10,9,10,8,10,8,9,9,10,10,10,10,10,10,10,10,9,9,9,6,7,1,1,5,7,4,1,6,7,1,1,7,7,1,1,24,28,7,4,7,2520,2,120,0,0,10,9.33333333333333,9.8,10,9,9
"45",1,2013-08-04,"love handles",1,24,4,1,8,1,1,16,6,10,10,8,10,10,10,10,8,8,10,10,10,10,10,10,10,8,10,10,10,9,10,10,10,10,10,6,6,6,1,3,6,6,6,6,7,4,1,7,7,7,7,22,26,23,15,2,30,4,70,0,0,9.33333333333333,10,9.6,9.5,10,10
"46",1,2013-08-04,"Aging and to keep fit and be healthy",2,39,5,2,5,3,1,52,12,8,8,7,7,7,7,9,10,10,8,6,8,7,7,8,7,7,7,9,10,10,10,6,7,7,7,2,6,5,1,2,6,6,2,2,6,1,1,6,6,6,1,12,24,18,5,3,90,3,240,0,0,7.66666666666667,7.33333333333333,7.8,7.25,7,7
"47",1,2013-08-04,"To lose weight and get fit.",2,23,3,2,104,0,1,26,2,6,8,6,10,8,8,3,4,6,2,9,8,9,5,5,2,6,4,8,2,2,2,2,7,7,7,2,2,3,1,2,3,1,1,3,3,1,1,1,2,2,1,8,10,7,4,1,10,0,0,0,0,6.66666666666667,4,6.8,5,8.5,7
"48",1,2013-08-04,"become healthier",2,23,4,1,1,1,2,NA,NA,0,10,2,10,10,10,10,5,10,10,0,0,1,4,4,4,2,2,2,2,2,2,2,3,3,3,4,5,NaN,1,4,7,4,1,4,7,1,1,7,7,7,1,19,26,NA,4,100,NA,0,0,0,0,4,4,10,2,0,3
"49",1,2013-08-04,"Fitness/appearance",1,24,4,2,300,0,1,175,30,6,10,1,8,4,9,9,9,2,9,10,10,10,2,10,2,8,8,8,8,9,2,7,10,10,10,4,6,1,1,1,6,1,1,1,5,1,1,1,1,1,1,7,18,4,4,0,0,1,90,0,0,5.66666666666667,4.66666666666667,6.4,7.75,10,10
"50",1,2013-08-04,"To lose weight",2,22,1,1,16,4,2,NA,NA,7,8,8,8,8,8,10,0,9,7,3,3,2,9,10,9,9,9,9,10,0,9,1,9,9,9,4,6,2,2,5,5,2,2,5,5,2,2,6,6,2,2,20,22,8,8,3,120,NA,NA,NA,NA,7.66666666666667,9.33333333333333,8,7,3,9
"51",1,2013-08-04,"to have more energy",2,43,5,5,12,6,1,6,1,5,9,7,5,5,8,8,4,8,7,7,7,6,8,8,7,8,8,8,8,5,8,8,10,7,10,5,5,1,3,1,5,1,1,1,5,1,3,1,5,1,1,8,20,4,8,3,150,0,0,0,0,7,7.66666666666667,6.6,8,7,9
"52",1,2013-08-04,"To feel physically better",2,37,5,3,12,12,1,52,12,5,3,3,4,6,5,5,6,4,4,6,6,5,6,6,6,5,5,5,5,4,3,3,5,4,4,6,6,4,1,6,6,3,1,6,6,1,1,5,5,3,1,23,23,11,4,6,360,2,90,2,60,3.66666666666667,6,4.6,4.5,6,4.33333333333333
"53",1,2013-08-05,"Health reasons",2,46,4,3,16,2,1,208,104,9,10,8,9,9,6,10,10,8,9,9,9,10,7,9,6,7,9,8,9,10,8,8,9,9,7,5,7,2,1,6,7,6,1,5,7,2,1,6,7,6,1,22,28,16,4,7,120,0,0,3,180,9,7.33333333333333,8.2,8,9,8.33333333333333
"54",1,2013-08-05,"To improve my fitness",2,38,4,1,156,52,1,260,104,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,5,300,0,0,1,30,4,5,5,5,5,5
"55",1,2013-08-05,"To be healthy, fit, and feel better",2,23,2,2,12,12,2,NA,NA,10,9,10,10,9,10,10,0,10,0,8,9,10,9,9,10,10,8,10,10,9,9,0,10,10,9,6,7,3,1,2,7,3,1,3,6,1,1,7,6,1,1,18,26,8,4,4,165,3,115,0,165,9.66666666666667,9.33333333333333,7.8,7,8.5,9.66666666666667
"56",1,2013-08-05,"weight loss, tone",2,24,4,2,10,6,1,52,20,6,8,4,6,6,8,8,6,5,6,6,7,6,6,8,6,6,6,7,7,7,5,5,7,6,6,4,4,6,3,3,4,4,2,2,3,1,1,4,4,4,1,13,15,15,7,8,120,3,70,1,20,6,6.66666666666667,6.2,6,6.5,6.33333333333333
"57",1,2013-08-05,"stress relief, fitness,",2,55,5,3,52,12,1,260,16,7,10,4,7,9,9,10,10,6,10,5,7,4,2,8,5,3,3,6,8,8,8,2,6,4,3,3,6,3,1,3,7,6,1,3,7,1,1,7,7,6,1,16,27,16,4,5,120,3,60,0,60,7,5,8.2,3.5,6,4.33333333333333
